dispnum3,statea,stateb,year,hiact,hostlev,outcome,fatality
2099,710,750,1971,0,1,5,0
2100,750,710,1973,7,3,5,0
2100,710,750,1973,0,1,5,0
2101,750,710,1979,8,3,5,0
2101,710,750,1979,0,1,5,0
2102,750,710,1985,17,4,5,NA
2102,710,750,1985,17,4,5,NA
2106,645,630,1965,17,4,5,1
2106,630,645,1965,17,4,5,1
2107,645,630,1966,7,3,5,0
2107,630,645,1966,16,4,5,0
2108,630,645,1969,17,4,5,2
2108,645,630,1969,17,4,5,2
2109,645,630,1970,15,4,5,0
2109,630,645,1970,7,3,5,0
2110,630,645,1971,17,4,5,1
2110,645,630,1971,17,4,5,1
2111,630,645,1973,17,4,5,2
2111,645,630,1973,17,4,5,2
2112,645,630,1974,17,4,6,3
2112,630,645,1974,17,4,6,3
2113,645,630,1979,16,4,5,0
2113,630,645,1979,7,3,5,0
2115,645,630,1979,20,5,3,6
2115,630,645,1979,20,5,3,6
2118,135,130,1984,17,4,5,1
2118,130,135,1984,17,4,5,1
2119,135,130,1981,17,4,5,2
2119,130,135,1981,17,4,5,2
2120,130,135,1977,17,4,5,1
2120,135,130,1977,17,4,5,1
2136,500,200,1974,8,3,8,0
2136,200,500,1974,0,1,8,0
2138,620,625,1972,12,3,7,0
2138,625,620,1972,16,4,7,0
2139,90,200,1977,7,3,5,0
2139,200,90,1977,7,3,5,0
2140,500,510,1977,17,4,5,1
2140,510,500,1977,17,4,5,1
2141,620,510,1979,20,5,NA,NA
2141,500,510,1978,20,5,2,6
2141,510,620,1978,20,5,2,6
2141,510,500,1978,20,5,2,6
2142,530,625,1977,12,3,5,0
2142,625,530,1977,8,3,5,0
2143,155,135,1977,7,3,5,0
2143,135,155,1977,7,3,5,0
2144,510,501,1977,15,4,7,0
2144,501,510,1977,0,1,7,0
2148,560,490,1977,17,4,5,NA
2148,490,560,1977,17,4,5,NA
2149,811,812,1977,17,4,5,NA
2149,812,811,1977,17,4,5,NA
2150,484,482,1977,17,4,8,4
2150,500,220,1977,17,4,8,4
2150,40,600,1977,17,4,8,4
2150,540,651,1977,17,4,8,4
2150,484,490,1977,17,4,8,4
2150,500,482,1977,17,4,8,4
2150,40,220,1977,17,4,8,4
2150,540,600,1977,17,4,8,4
2150,484,651,1977,17,4,8,4
2150,500,490,1977,17,4,8,4
2150,40,482,1977,17,4,8,4
2150,540,220,1977,17,4,8,4
2150,484,600,1977,17,4,8,4
2150,500,651,1977,17,4,8,4
2150,40,490,1977,17,4,8,4
2150,540,482,1977,17,4,8,4
2150,484,220,1977,17,4,8,4
2150,500,600,1977,17,4,8,4
2150,40,651,1977,17,4,8,4
2150,540,490,1977,17,4,8,4
2150,482,484,1977,17,4,8,4
2150,220,500,1977,17,4,8,4
2150,600,40,1977,17,4,8,4
2150,651,540,1977,17,4,8,4
2150,490,484,1977,12,3,8,4
2150,482,500,1977,17,4,8,4
2150,220,40,1977,17,4,8,4
2150,600,540,1977,17,4,8,4
2150,651,484,1977,17,4,8,4
2150,490,500,1977,12,3,8,4
2150,482,40,1977,17,4,8,4
2150,220,540,1977,17,4,8,4
2150,600,484,1977,17,4,8,4
2150,651,500,1977,17,4,8,4
2150,490,40,1977,12,3,8,4
2150,482,540,1977,17,4,8,4
2150,220,484,1977,17,4,8,4
2150,600,500,1977,17,4,8,4
2150,651,40,1977,17,4,8,4
2150,490,540,1977,12,3,8,4
2152,670,678,1980,17,4,5,1
2152,678,670,1980,17,4,5,1
2153,670,651,1964,1,2,5,0
2153,651,670,1964,0,1,5,0
